,sigmas,sigma_iter,medians,best_fit
0,0.5,1,0.029078301867748194,0.00015010811732112892
1,0.48677809518539716,2,0.027712956550228426,0.00030036403104905716
2,0.4402260820712917,4,0.025547101137111297,0.00030563650974958366
3,0.4673915658932909,5,0.02223480522294735,4.6363785491162684e-05
4,0.36815570877251297,6,0.016420447240953193,0.00011023832634668191
5,0.33670670871521297,10,0.010671805502994545,0.00013852121834839336
6,0.26095102072963694,18,0.008212517136027546,4.3571127389747493e-05
7,0.21301441295545143,23,0.0053228336858110355,5.445294805057652e-05
8,0.14609248713992634,24,0.003472719807462548,9.594292408784784e-05
9,0.111464412776801,25,0.0020080612036763295,3.513959688118621e-05
10,0.10597999596566289,27,0.0017873987530100674,6.805432263998626e-06
11,0.11321448082343395,29,0.0016438349527558016,2.2243737970362293e-05
12,0.09986766780138064,33,0.0015254616304314474,7.769683959288577e-06
13,0.07667681284234405,34,0.001278880028128556,2.0376672847204642e-05
14,0.08137017961439283,35,0.0009866983221617116,7.4633022238339085e-06
15,0.060477102703406456,38,0.0009510766904533025,7.071981051978307e-06
16,0.04635867995910612,39,0.0007501870386250724,3.3873213800737196e-06
17,0.039760758005923935,40,0.00040387919346622774,3.3749926218341687e-06
18,0.03620487166315271,51,0.0003157778398993414,9.718355059857489e-07
19,0.04671440112128026,54,0.000262010207359626,6.014496986246306e-06
20,0.03537496263179233,97,0.0002326597196344135,1.2138047853607865e-06
21,0.03787956708756541,98,0.0002295054079832519,1.443929154881856e-06
22,0.024612155029216386,106,0.0002073048124134185,5.0143889161916554e-06
23,0.023528373887531054,116,0.0001719990817770522,3.672628423713211e-07
24,0.024095275251877303,198,0.00016454293487766386,1.0101674133586563e-07
