,sigmas,sigma_iter,medians,best_fit
0,0.5,1,46.23878499750516,7.548863708004599
1,0.5924549522998492,4,34.78307256545014,1.3715904986167988
2,0.7232030223806899,9,30.43754620842911,0.7948631561658726
3,1.0693654615535713,11,17.09454355207707,0.6107466502156171
4,1.2357611239658486,12,11.645628939992443,1.1013115476543174
5,1.710573516370145,16,10.790309798772748,1.0684637168789788
6,1.7866841645616531,19,9.890884296127886,0.6102165710612173
7,1.9562731401548201,22,9.100484143144246,2.198137584345753
8,1.998489041538493,136,8.954097424106859,0.9113677341840116
9,1.8697043817291592,312,8.63879609660335,0.6287627465756938
10,1.5779095109358225,438,8.623857945278402,0.5571246658255316
