,sigmas,sigma_iter,medians,best_fit
0,0.5,1,3.923484961412892,0.0268239737061027
1,0.42804002234658695,2,3.5347050776297877,0.055181477686125024
2,0.35581334638388895,4,3.1004617698656602,0.01931130235244954
3,0.3139789379200236,5,2.762453526717235,0.028358797370044216
4,0.319612218604982,7,2.4294051935282943,0.00011753424947446964
5,0.24196801173933144,12,2.3601130379497146,0.0019779899371182644
6,0.199906800907046,16,2.3242065863148307,0.011217011371172463
7,0.2324466547000035,18,1.962256131665583,0.0016861101193182974
8,0.21721931980519557,51,1.8821732731333485,0.06202361132605709
9,0.13081880100707816,101,1.3680946666371516,0.013317116861335281
10,0.13008058098628247,470,1.3647621798277898,0.005077081589397649
