,sigmas,parents,best_fit
0,1.0,[4.70185076 5.52014038],85.4787562085859
1,1.490814459011017,[2.08632241 4.1950607 ],30.002657135961083
2,1.490814459011017,[2.08632241 4.1950607 ],30.002657135961083
3,0.7169397030179424,[1.8800492  4.15051357],27.61782983208217
4,0.8234754035644485,[2.16582441 3.06033571],19.72071044213265
5,1.0170416613048583,[2.93014732 0.77782723],18.399028767840054
6,0.6483066132596159,[2.96587986 0.01005329],9.045409815840419
7,0.6483066132596159,[2.96587986 0.01005329],9.045409815840419
8,0.6483066132596159,[2.96587986 0.01005329],9.045409815840419
9,0.8874237381339373,[2.98998583 0.01034451],8.981026200604052
10,0.7891697896301955,[1.88914265 0.89737435],8.711353418757014
11,0.7891697896301955,[1.88914265 0.89737435],8.711353418757014
12,0.514729714627842,[1.86030675 0.9956033 ],8.066703974441687
13,0.2500411464983633,[2.01442651 0.97138727],5.203729124491456
14,0.2500411464983633,[2.01442651 0.97138727],5.203729124491456
15,0.2500411464983633,[2.01442651 0.97138727],5.203729124491456
16,0.2500411464983633,[2.01442651 0.97138727],5.203729124491456
17,0.09337956057475924,[1.99201197 0.97433824],5.059745807229088
18,0.05226748686506786,[1.98478875 0.98522354],4.998758409250247
19,0.04369754801429061,[1.98871897 1.00210724],4.985208497294513
20,0.02056684421161997,[1.98859082 0.99466534],4.975152969121588
21,0.02056684421161997,[1.98859082 0.99466534],4.975152969121588
22,0.02056684421161997,[1.98859082 0.99466534],4.975152969121588
23,0.01315298921310427,[1.98977115 0.99623202],4.9751157477304755
24,0.01315298921310427,[1.98977115 0.99623202],4.9751157477304755
25,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
26,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
27,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
28,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
29,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
30,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
31,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
32,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
33,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
34,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
35,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
36,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
37,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
38,0.011220774650428464,[1.98983292 0.99592682],4.974977380741988
39,0.012035603451295562,[1.99051605 0.99463372],4.974883374588423
40,0.012035603451295562,[1.99051605 0.99463372],4.974883374588423
41,0.012035603451295562,[1.99051605 0.99463372],4.974883374588423
42,0.012035603451295562,[1.99051605 0.99463372],4.974883374588423
43,0.012035603451295562,[1.99051605 0.99463372],4.974883374588423
44,0.012035603451295562,[1.99051605 0.99463372],4.974883374588423
45,0.004344720929868389,[1.98998588 0.99550594],4.974850719900665
46,0.004344720929868389,[1.98998588 0.99550594],4.974850719900665
47,0.004344720929868389,[1.98998588 0.99550594],4.974850719900665
