,sigmas,parents,best_fit
0,1.0,[7.74151484 8.28246836],128.53033403857216
1,8.318334454593533,[1.76159578 5.0422899 ],28.527907106930673
2,4.099936379488398,[-0.50709899  1.22121219],1.748508586376776
3,4.099936379488398,[-0.50709899  1.22121219],1.748508586376776
4,1.121361605990849,[0.50093433 0.3255587 ],0.35692367177024076
5,0.39573112335402105,[ 0.16784399 -0.06424418],0.032298919885051014
6,0.08786585148061368,[ 0.02913151 -0.01330121],0.0010255669305882632
7,0.011181435281685666,[ 0.0228869  -0.01216323],0.000671754509573413
8,0.014055267277105684,[0.00208721 0.00051962],4.626446273931506e-06
9,0.0048060213741017155,[0.00059934 0.00090076],1.1705807685517153e-06
10,0.0011983390864809297,[0.00025893 0.00019336],1.0443245380420934e-07
11,0.0006119401061845341,[0.00018519 0.00015288],5.7667071381726636e-08
12,0.0001578230145694229,[4.58724643e-05 2.05475695e-06],2.1085050083364088e-09
13,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
14,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
15,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
16,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
17,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
18,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
19,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
20,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
21,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
22,9.165889301255939e-05,[1.03135081e-06 3.04418784e-06],1.033076409974961e-11
23,2.119576305254697e-05,[-1.61720075e-06 -9.38031736e-07],3.4952418075874618e-12
24,2.119576305254697e-05,[-1.61720075e-06 -9.38031736e-07],3.4952418075874618e-12
25,2.119576305254697e-05,[-1.61720075e-06 -9.38031736e-07],3.4952418075874618e-12
26,7.984181770513577e-06,[-1.19364821e-06 -9.80980098e-07],2.3871180086134855e-12
27,3.921341366578536e-06,[2.31384688e-07 9.22014146e-07],9.036489586357858e-13
28,8.692924487651612e-07,[1.0604428e-07 3.2555762e-07],1.1723315303223634e-13
29,1.959659154298481e-07,[-5.22807274e-09  7.79879818e-08],6.109458051013472e-15
30,5.93851106521804e-08,[-4.43475656e-09  2.97964200e-08],9.074937131218616e-16
31,5.6287566331352e-08,[1.49672051e-09 1.04072960e-08],1.1055198280359187e-16
32,2.3005900056044414e-08,[ 6.62542077e-09 -1.56385521e-09],4.6341843549353e-17
33,1.837564276763972e-08,[ 1.90566540e-09 -1.38896845e-09],5.560793982138193e-18
34,1.0399940432584795e-08,[ 1.61569604e-09 -4.46416085e-10],2.809761022129227e-18
35,2.1782120828057592e-09,[-8.02337065e-10  6.49703185e-10],1.0658589934749026e-18
36,1.0894026620859665e-09,[ 9.50520924e-11 -1.32041751e-10],2.64699241714357e-20
37,1.008381853397699e-09,[1.89076045e-11 1.17707440e-10],1.4212538947158097e-20
38,1.008381853397699e-09,[1.89076045e-11 1.17707440e-10],1.4212538947158097e-20
39,1.8628061535889402e-10,[-1.93764685e-11 -8.81216444e-12],4.531017718449792e-22
40,1.8628061535889402e-10,[-1.93764685e-11 -8.81216444e-12],4.531017718449792e-22
41,7.16529461293095e-10,[1.49642984e-11 2.48789353e-12],2.3011984076159305e-22
42,7.16529461293095e-10,[1.49642984e-11 2.48789353e-12],2.3011984076159305e-22
43,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
44,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
45,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
46,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
47,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
48,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
49,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
50,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
51,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
52,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
53,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
54,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
55,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
56,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
57,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
58,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
59,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
60,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
61,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
62,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
63,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
64,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
65,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
66,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
67,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
68,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
69,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
70,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
71,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
72,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
73,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
74,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
75,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
76,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
77,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
78,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
79,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
80,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
81,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
82,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
83,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
84,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
85,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
86,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
87,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
88,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
89,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
90,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
91,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
92,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
93,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
94,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
95,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
96,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
97,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
98,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
99,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
100,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
101,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
102,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
103,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
104,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
105,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
106,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
107,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
108,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
109,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
110,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
111,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
112,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
113,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
114,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
115,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
116,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
117,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
118,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
119,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
120,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
121,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
122,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
123,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
124,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
125,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
126,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
127,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
128,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
129,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
130,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
131,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
132,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
133,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
134,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
135,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
136,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
137,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
138,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
139,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
140,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
141,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
142,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
143,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
144,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
145,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
146,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
147,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
148,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
149,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
150,1.6043999502159507e-10,[ 1.11700089e-12 -3.40310473e-12],1.2828812749781192e-23
151,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
152,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
153,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
154,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
155,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
156,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
157,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
158,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
159,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
160,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
161,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
162,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
163,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
164,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
165,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
166,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
167,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
168,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
169,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
170,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
171,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
172,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
173,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
174,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
175,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
176,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
177,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
178,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
179,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
180,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
181,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
182,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
183,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
184,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
185,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
186,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
187,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
188,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
189,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
190,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
191,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
192,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
193,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
194,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
195,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
196,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
197,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
198,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
199,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
200,1.0951924325070789e-10,[-2.12936991e-13  1.64676012e-12],2.757161055047553e-24
